# Aspell Character Data File.  Do Not Edit!
cp437
0	other	0	0	0	0	0	0
9786	other	1	1	1	0	1	1
9787	other	2	2	2	0	2	2
9829	other	3	3	3	0	3	3
9830	other	4	4	4	0	4	4
9827	other	5	5	5	0	5	5
9824	other	6	6	6	0	6	6
8226	other	7	7	7	0	7	7
9688	other	8	8	8	0	8	8
9702	other	9	9	9	0	9	9
9689	other	10	10	10	0	10	10
9794	other	11	11	11	0	11	11
9792	other	12	12	12	0	12	12
9834	other	13	13	13	0	13	13
9835	other	14	14	14	0	14	14
9788	other	15	15	15	0	15	15
9654	other	16	16	16	0	16	16
9664	other	17	17	17	0	17	17
8597	other	18	18	18	0	18	18
8252	other	19	19	19	0	19	19
182	other	20	20	20	0	20	20
167	other	21	21	21	0	21	21
9644	other	22	22	22	0	22	22
8616	other	23	23	23	0	23	23
8593	other	24	24	24	0	24	24
8595	other	25	25	25	0	25	25
8594	other	26	26	26	0	26	26
8592	other	27	27	27	0	27	27
8976	other	169	169	169	0	169	169
8596	other	29	29	29	0	29	29
9650	other	30	30	30	0	30	30
9660	other	31	31	31	0	31	31
32	space	32	32	32	0	32	32
33	other	33	33	33	0	33	33
34	other	34	34	34	0	34	34
35	other	35	35	35	0	35	35
36	other	36	36	36	0	36	36
37	other	37	37	37	0	37	37
38	other	38	38	38	0	38	38
39	other	39	39	39	0	39	39
40	other	40	40	40	0	40	40
41	other	41	41	41	0	41	41
42	other	42	42	42	0	42	42
43	other	43	43	43	0	43	43
44	other	44	44	44	0	44	44
45	other	45	45	45	0	45	45
46	other	46	46	46	0	46	46
47	other	47	47	47	0	47	47
48	other	48	48	48	0	48	48
49	other	49	49	49	0	49	49
50	other	50	50	50	0	50	50
51	other	51	51	51	0	51	51
52	other	52	52	52	0	52	52
53	other	53	53	53	0	53	53
54	other	54	54	54	0	54	54
55	other	55	55	55	0	55	55
56	other	56	56	56	0	56	56
57	other	57	57	57	0	57	57
58	other	58	58	58	0	58	58
59	other	59	59	59	0	59	59
60	other	60	60	60	0	60	60
61	other	61	61	61	0	61	61
62	other	62	62	62	0	62	62
63	other	63	63	63	0	63	63
64	other	64	64	64	0	64	64
65	letter	97	65	65	0	97	65
66	letter	98	66	66	66	98	66
67	letter	99	67	67	67	99	67
68	letter	100	68	68	68	100	68
69	letter	101	69	69	0	101	69
70	letter	102	70	70	70	102	70
71	letter	103	71	71	71	103	71
72	letter	104	72	72	72	104	72
73	letter	105	73	73	0	105	73
74	letter	106	74	74	74	106	74
75	letter	107	75	75	75	107	75
76	letter	108	76	76	76	108	76
77	letter	109	77	77	77	109	77
78	letter	110	78	78	78	110	78
79	letter	111	79	79	0	111	79
80	letter	112	80	80	80	112	80
81	letter	113	81	81	81	113	81
82	letter	114	82	82	82	114	82
83	letter	115	83	83	83	115	83
84	letter	116	84	84	84	116	84
85	letter	117	85	85	0	117	85
86	letter	118	86	86	86	118	86
87	letter	119	87	87	87	119	87
88	letter	120	88	88	88	120	88
89	letter	121	89	89	0	121	89
90	letter	122	90	90	90	122	90
91	other	91	91	91	0	91	91
92	other	92	92	92	0	92	92
93	other	93	93	93	0	93	93
94	other	94	94	94	0	94	94
95	other	95	95	95	0	95	95
96	other	96	96	96	0	96	96
97	letter	97	65	65	0	97	97
98	letter	98	66	66	66	98	98
99	letter	99	67	67	67	99	99
100	letter	100	68	68	68	100	100
101	letter	101	69	69	0	101	101
102	letter	102	70	70	70	102	102
103	letter	103	71	71	71	103	103
104	letter	104	72	72	72	104	104
105	letter	105	73	73	0	105	105
106	letter	106	74	74	74	106	106
107	letter	107	75	75	75	107	107
108	letter	108	76	76	76	108	108
109	letter	109	77	77	77	109	109
110	letter	110	78	78	78	110	110
111	letter	111	79	79	0	111	111
112	letter	112	80	80	80	112	112
113	letter	113	81	81	81	113	113
114	letter	114	82	82	82	114	114
115	letter	115	83	83	83	115	115
116	letter	116	84	84	84	116	116
117	letter	117	85	85	0	117	117
118	letter	118	86	86	86	118	118
119	letter	119	87	87	87	119	119
120	letter	120	88	88	88	120	120
121	letter	121	89	89	0	121	121
122	letter	122	90	90	90	122	122
123	other	123	123	123	0	123	123
124	other	124	124	124	0	124	124
125	other	125	125	125	0	125	125
126	other	126	126	126	0	126	126
127	other	127	127	127	0	127	127
199	letter	135	128	128	67	99	67
252	letter	129	154	154	0	117	117
233	letter	130	144	144	0	101	101
226	letter	131	194	194	0	97	97
228	letter	132	142	142	0	97	97
224	letter	133	192	192	0	97	97
229	letter	134	143	143	0	97	97
231	letter	135	128	128	67	99	99
234	letter	136	202	202	0	101	101
235	letter	137	203	203	0	101	101
232	letter	138	200	200	0	101	101
239	letter	139	207	207	0	105	105
238	letter	140	206	206	0	105	105
236	letter	141	204	204	0	105	105
196	letter	132	142	142	0	97	65
197	letter	134	143	143	0	97	65
201	letter	130	144	144	0	101	69
230	letter	145	146	146	0	145	145
198	letter	145	146	146	0	145	146
244	letter	147	212	212	0	111	111
246	letter	148	153	153	0	111	111
242	letter	149	210	210	0	111	111
251	letter	150	219	219	0	117	117
249	letter	151	217	217	0	117	117
255	letter	152	159	159	0	121	121
