dessertspoonfuls	dessertspoonsful
develed	develled
develing	develling
deviled	devilled
deviling	devilling
dezinced	dezincked
dezincing	dezincking
diagramed	diagrammed
diagraming	diagramming
dialed	dialled
dialing	dialling	diallings
diazoes	diazos
dicta	dictums
didoes	didos
dildoes	dildos
dilettantes	dilettanti
diminuendoes	diminuendos
disboweled	disbowelled
disboweling	disbowelling
disemboweled	disembowelled
disemboweling	disembowelling
disequilibria	disequilibriums
disheveled	dishevelled
disheveling	dishevelling
dismaler	dismaller
dismalest	dismallest
disproved	disproven
dittoes	dittos
dived	dove
djinn	djinns
dodoes	dodos
dogmas	dogmata
dognaped	dognapped
dognaping	dognapping
dominatrices	dominatrixes
dominoes	dominos
doweled	dowelled
doweling	dowelling
drachmae	drachmai	drachmas
drank	drunk
dreamed	dreamt
dries	drys
driveled	drivelled
driveling	drivelling
drongoes	drongos
dueled	duelled
dueling	duelling	duellings
duodena	duodenums
dwarfs	dwarves
dwelled	dwelt
dybbukim	dybbuks
earthwolf	earthwolves
echoes	echos
edemas	edemata
effluvia	effluviums
elder	older
eldest	oldest
emboweled	embowelled
emboweling	embowelling
empaneled	empanelled
empaneling	empanelling
emporia	emporiums
enameled	enamelled
enameling	enamelling	enamellings
encomia	encomiums
endamebae	endamebas
endamoebae	endamoebas
enemas	enemata
enhaloes	enhalos
ensorceled	ensorcelled
enteritides	enteritises
enureses	enuresises
ephemerae	ephemeras
epiglottides	epiglottises
epithelia	epitheliums
epoxied	epoxyed
equaled	equalled
equaling	equalling
equilibria	equilibriums
eringoes	eringos
eryngoes	eryngos
eucalypti	eucalyptuses
eviler	eviller
evilest	evillest
executrices	executrixes
eyeing	eying
eyeleted	eyeletted
eyeleting	eyeletting
faceted	facetted
faceting	facetting
fandangoes	fandangos
farebeat	farebeaten
farragoes	farragos
farther	further
farthest	furthest
fasciae	fascias
fatsoes	fatsos
faunae	faunas
fellowshiped	fellowshipped
fellowshiping	fellowshipping
femora	femurs
ferreled	ferrelled
ferreling	ferrelling
fettuccine	fettuccines
fezes	fezzes
fianchettoes	fianchettos
fiascoes	fiascos
fibrosarcomas	fibrosarcomata
fibulae	fibulas
ficoes	ficos
ficus	ficuses
fieldstripped	fieldstript
firstborn	firstborns
fistulae	fistulas
fit	fitted
flagella	flagellums
flambeaus	flambeaux
flamingoes	flamingos
flanneled	flannelled
flanneling	flannelling
floodlighted	floodlit
florae	floras
foci	focuses	focusses
focused	focussed
focusing	focussing
folk	folks
fora	forums
forbad	forbade	forbid	forbidden
forecast	forecasted
forehoofs	forehooves
forepeople	forepersons
foreshowed	foreshown
formulae	formulas
fortissimi	fortissimos
frescoes	frescos
frivoled	frivolled
frivoling	frivolling
frusta	frustums
fueled	fuelled
fueling	fuelling
fulcra	fulcrums
fumadoes	fumados
fungi	funguses
funneled	funnelled
funneling	funnelling
gallows	gallowses
gambadoes	gambados
gamboled	gambolled
gamboling	gambolling
ganglia	ganglions
gannet	gannets
gases	gasses
gastritides	gastritises
gaveled	gavelled
gaveling	gavelling
gazaboes	gazabos
gazeboes	gazebos
geckoes	geckos
geisha	geishas
gelded	gelt
gemsbuck	gemsbucks
genera	genuses
gentlefolk	gentlefolks
gheraoes	gheraos
ghettoes	ghettos
gilded	gilt
gimbaled	gimballed
gimbaling	gimballing
gingkoes	gingkos
ginkgoes	ginkgos
ginzoes	ginzos
girded	girt
gladioli	gladiolus	gladioluses
glissandi	glissandos
glottides	glottises
glueing	gluing
gnawed	gnawn
goat	goats
goboes	gobos
gospeled	gospelled
gospeling	gospelling
gossiped	gossipped
gossiping	gossipping
got	gotten
grapefruit	grapefruits
gravamens	gravamina
graved	graven
graveled	gravelled
graveling	gravelling
greenlighted	greenlit
grottoes	grottos
grouse	grouses
groveled	grovelled
groveling	grovelling
grueled	gruelled
grueling	gruelling	gruellings
guacharoes	guacharos
guarani	guaranies	guaranis
gulden	guldens
gymnasia	gymnasiums
haloes	halos
handfuls	handsful
handkerchiefs	handkerchieves
handseled	handselled
handseling	handselling
handwrit	handwritten
hanseled	hanselled
hanseling	hanselling
hatcheled	hatchelled
hatcheling	hatchelling
hawbuck	hawbucks
heathen	heathens
helices	helixes
herniae	hernias
heroes	heros
hertz	hertzes
hewed	hewn
hiatus	hiatuses
hiccuped	hiccupped
hiccuping	hiccupping
hid	hidden
hieing	hying
hillfolk	hillfolks
hilloes	hillos
hippopotami	hippopotamuses
hirseled	hirselled
hirseling	hirselling
hoboes	hobos
hogtieing	hogtying
holloes	hollos
honeyed	honied
honoraria	honorariums
hoofs	hooves
hosteled	hostelled
hosteling	hostelling
houseled	houselled
houseling	houselling	housellings
hoveled	hovelled
hoveling	hovelling
hydrae	hydras
hydrocephali	hydrocephaluses
hydrothoraces	hydrothoraxes
hyperbolae	hyperbolas
hypopharynges	hypopharynxes
iambi	iambuses
ibexes	ibices
ictus	ictuses
ignaroes	ignaros
imagines	imagoes
impaneled	impanelled
impaneling	impanelling
impatiens	impatienses
imperiled	imperilled
imperiling	imperilling
incubi	incubuses
indexes	indices
indigoes	indigos
indwelled	indwelt
initialed	initialled
initialing	initialling
innuendoes	innuendos
input	inputted
inset	insetted
intagli	intaglios
intermezzi	intermezzos
interpleaded	interpled
interregna	interregnums
interweaved	interwove	interwoven
interworked	interwrought
irides	irises
isthmi	isthmuses
jacklighted	jacklit
jejuna	jejunums
jeweled	jewelled
jeweling	jewelling
jigsawed	jigsawn
jinn	jinnis
journaled	journalled
journaling	journalling
juncoes	juncos
kenneled	kennelled
kenneling	kennelling
kerchiefs	kerchieves
kerneled	kernelled
kerneling	kernelling
kiddoes	kiddos
kidnaped	kidnapped
kidnaping	kidnapping
kielbasas	kielbasi	kielbasy
killdeer	killdeers
kilobaud	kilobauds
kilohertz	kilohertzes
kinfolk	kinfolks
kinsfolk	kinsfolks
kip	kips
kneeled	knelt
kuchen	kuchens
labeled	labelled
labeling	labelling
laced	lacked
lacing	lacking
lacunae	lacunas
laded	laden
laminae	laminas
landslid	landslidden
larvae	larvas
larynges	larynxes
lassoes	lassos
lateraled	lateralled
lateraling	lateralling
latexes	latices
lath	laths
latigoes	latigos
laureled	laurelled
laureling	laurelling
lavaboes	lavabos
laypeople	laypersons
leafleted	leafletted
leafleting	leafletting
leaned	leant
leaped	leapt	lept
learned	learnt
least	littlest
less	lesser	littler
leveled	levelled
leveling	levelling
lexica	lexicons
libeled	libelled
libeling	libelling
libretti	librettos
lighted	lit
lingoes	lingos
linguine	linguines
linguini	linguinis
liras	lire
localed	localled
localing	localling
longeing	longing
looneys	loonies
loris	lorises
lowlifes	lowlives
lox	loxes
loyaler	loyaller
loyalest	loyallest
lugeing	luging
lymphomas	lymphomata
macaronies	macaronis
macramed	macrameed
macronuclei	macronucleuses
mademoiselles	mesdemoiselles
maestri	maestros
mafiosi	mafiosos
magnificoes	magnificos
mangoes	mangos
manifestoes	manifestos
mantes	mantises
markkaa	markkas
marquis	marquises
marshaled	marshalled
marshaling	marshalling	marshallings
marveled	marvelled
marveling	marvelling
matrices	matrixes
matzos	matzot	matzoth
mausolea	mausoleums
maxillae	maxillas
maxima	maximums
meaneing	meaning
medaled	medalled
medaling	medalling
medevaced	medevacked
medevacing	medevacking
media	mediums
medullae	medullas
megabuck	megabucks
megafaunae	megafaunas
megahertz	megahertzes
melanomas	melanomata
melted	molten
mementoes	mementos
memoranda	memorandums
menfolk	menfolks
menhaden	menhadens
menisci	meniscuses
mestesoes	mestesos
mestinoes	mestinos
mestizoes	mestizos
metaled	metalled
metaling	metalling	metallings
metathoraces	metathoraxes
miasmas	miasmata
micra	microns
microbuses	microbusses
microcosmos	microcosmoses
microfaunae	microfaunas
microfiche	microfiches
microflorae	microfloras
microfungi	microfunguses
micronuclei	micronucleuses
midwifed	midwived
midwifing	midwiving
milieus	milieux
militaries	military
millennia	millenniums
minibuses	minibusses
minima	minimums
misbiased	misbiassed
misbiasing	misbiassing
mischanneled	mischannelled
mischanneling	mischannelling
misdialed	misdialled
misdialing	misdialling
misfocused	misfocussed
misfocuses	misfocusses
misfocusing	misfocussing
misfueled	misfuelled
misfueling	misfuelling
mislabeled	mislabelled
mislabeling	mislabelling
mislearned	mislearnt
mislighted	mislit
mispleaded	mispled
misprogramed	misprogrammed
misprograming	misprogramming
misshaped	misshapen
misspelled	misspelt
misstricken	misstruck
miswrit	miswritten
modeled	modelled
modeling	modelling	modellings
mojoes	mojos
momenta	momentums
momentoes	momentos
moneys	monies
mongeese	mongooses
mongoes	mongos
monopodia	monopodiums
monsignori	monsignors
moratoria	moratoriums
morseled	morselled
morseling	morselling
mosquitoes	mosquitos
motorbuses	motorbusses
mottoes	mottos
mowburned	mowburnt
mowed	mown
mulattoes	mulattos
multiparae	multiparas
mungoes	mungos
naiades	naiads
narcissi	narcissus	narcissuses
nautili	nautiluses
nebulae	nebulas
neckerchiefs	neckerchieves
necropoleis	necropoles	necropoli	necropolises
neocortexes	neocortices
nephritides	nephritises
neuritides	neuritises
newspeople	newspersons
nexus	nexuses
nickeled	nickelled
nickeling	nickelling
nimbi	nimbuses
nisei	niseis
noes	nos
nonequilibria	nonequilibriums
nonplused	nonplussed
nonpluses	nonplusses
nonplusing	nonplussing
nosedived	nosedove
novae	novas
novellas	novelle
novenae	novenas
nuclei	nucleuses
oak	oaks
obbligati	obbligatos
obi	obis
oboes	obos
octopi	octopuses
offspring	offsprings
omnibuses	omnibusses
opera	opuses
optima	optimums
outburned	outburnt
outcaviled	outcavilled
outcaviling	outcavilling
outchid	outchidden	outchided
outdrank	outdrunk
outdreamed	outdreamt
outdueled	outduelled
outdueling	outduelling
outgases	outgasses
outgnawed	outgnawn
outleaped	outleapt
outlearned	outlearnt
output	outputted
outrivaled	outrivalled
outrivaling	outrivalling
outshined	outshone
outsmelled	outsmelt
outsped	outspeeded
outspelled	outspelt
outstripped	outstript
outwrit	outwritten
overbeat	overbeaten
overburned	overburnt
overdrank	overdrunk
overeyeing	overeying
overfocused	overfocussed
overfocuses	overfocusses
overfocusing	overfocussing
overgilded	overgilt
overgirded	overgirt
overgot	overgotten
overladed	overladen
overleaped	overleapt	overlept
overlighted	overlit
overpassed	overpast
overpedaled	overpedalled
overpedaling	overpedalling
overprogramed	overprogrammed
overprograming	overprogramming
overspilled	overspilt
overstrewed	overstrewn
ox	oxen
oxymora	oxymorons
paced	packed
pacing	packing
pailfuls	pailsful
palebuck	palebucks
palmettoes	palmettos
paneled	panelled
paneling	panelling	panellings
papyri	papyruses
para	paras
paralleled	parallelled
paralleling	parallelling
paramecia	parameciums
parceled	parcelled
parceling	parcelling
passadoes	passados
patellae	patellas
patinae	patinas
peas	pease
peccadilloes	peccadillos
pedaled	pedalled
