chagrin:	chagrined	chagrinned
chagrin:	chagrining	chagrinning
chairman:	chairmaned	chairmanned
chairman:	chairmaning	chairmanning
chamois:	chamois	chamoix
channel:	channeled	channelled
channel:	channeling	channelling
channelling:	channelling	channellings
chap:	chapped	chapt
chapeau:	chapeaus	chapeaux
chapel:	chapeled	chapelled
chapel:	chapeling	chapelling
charisma:	charismas	charismata
chateau:	chateaus	chateaux
cheechako:	cheechakoes	cheechakos
cherub:	cherubim	cherubims
chide:	chid	chidden	chided
chirrup:	chirruped	chirrupped
chirrup:	chirruping	chirrupping
chisel:	chiseled	chiselled
chisel:	chiseling	chiselling
chiselling:	chiselling	chisellings
chlamydia:	chlamydiae	chlamydias
chorus:	chorused	chorussed
chorus:	chorusing	chorussing
chrysalis:	chrysalides	chrysalises
cicada:	cicadae	cicadas
cicatrix:	cicatrices	cicatrixes
cicerone:	cicerones	ciceroni
cisco:	ciscoes	ciscos
citrus:	citrus	citruses
claro:	claroes	claros
cleave:	cleaved	cleft	clove	cloven
clip:	clipped	clipt
clitoris:	clitorides	clitorises
cloaca:	cloacae	cloacas
clothe:	clad	clothed
cloverleaf:	cloverleafs	cloverleaves
clue:	clueing	cluing
coccyx:	coccyges	coccyxes
cochlea:	cochleae	cochleas
cognomen:	cognomens	cognomina
coif:	coifed	coiffed
coif:	coiffing	coifing
colcannon:	colcannon	colcannons
colloquium:	colloquia	colloquiums
colossus:	colossi	colossuses
combat:	combated	combatted
combat:	combating	combatting
commando:	commandoes	commandos
compendium:	compendia	compendiums
concerto:	concerti	concertos
conch:	conches	conchs
condo:	condoes	condos
conge:	conged	congeed
congo:	congoes	congos
congressperson:	congresspeople	congresspersons
conjunctiva:	conjunctivae	conjunctivas
conquistador:	conquistadores	conquistadors
consortium:	consortia	consortiums
continuum:	continua	continuums
copula:	copulae	copulas
coranto:	corantoes	corantos
corbel:	corbeled	corbelled
corbel:	corbeling	corbelling
corbelling:	corbelling	corbellings
corona:	coronae	coronas
corpus:	corpora	corpuses
cortex:	cortexes	cortices
cosmos:	cosmos	cosmoses
cottonseed:	cottonseed	cottonseeds
counsel:	counseled	counselled
counsel:	counseling	counselling
counselling:	counselling	counsellings
countersink:	countersank	countersunk
couranto:	courantoes	courantos
cow:	cows	kine
craftsperson:	craftspeople	craftspersons
crambo:	cramboes	crambos
cranium:	crania	craniums
crematorium:	crematoria	crematoriums
crenel:	creneled	crenelled
crenel:	creneling	crenelling
crescendo:	crescendi	crescendos
criterion:	criteria	criterions
crocus:	croci	crocus	crocuses
cruel:	crueler	crueller
cruel:	cruelest	cruellest
crusado:	crusadoes	crusados
cruzado:	cruzadoes	cruzados
crystal:	crystaled	crystalled
crystal:	crystaling	crystalling
cudgel:	cudgeled	cudgelled
cudgel:	cudgeling	cudgelling
cudgelling:	cudgelling	cudgellings
cue:	cueing	cuing
cumulonimbus:	cumulonimbi	cumulonimbuses
cupel:	cupeled	cupelled
cupel:	cupeling	cupelling
cupful:	cupfuls	cupsful
curriculum:	curricula	curriculums
curse:	cursed	curst
cymbalo:	cymbaloes	cymbalos
dado:	dadoes	dados
dago:	dagoes	dagos
damned:	damndest	damnedest
danish:	danish	danishes
daydream:	daydreamed	daydreamt
daylight:	daylighted	daylit
decal:	decaled	decalled
decal:	decaling	decalling
decrescendo:	decrescendi	decrescendos
deer:	deer	deers
delirium:	deliria	deliriums
delphinium:	delphinia	delphiniums
deprogram:	deprogramed	deprogrammed
deprogram:	deprograming	deprogramming
dermatitis:	dermatitides	dermatitises
desperado:	desperadoes	desperados
dessertspoonful:	dessertspoonfuls	dessertspoonsful
devel:	develed	develled
devel:	develing	develling
devil:	deviled	devilled
devil:	deviling	devilling
dezinc:	dezinced	dezincked
dezinc:	dezincing	dezincking
diagram:	diagramed	diagrammed
diagram:	diagraming	diagramming
dial:	dialed	dialled
dial:	dialing	dialling
dialling:	dialling	diallings
diazo:	diazoes	diazos
dictum:	dicta	dictums
dido:	didoes	didos
dildo:	dildoes	dildos
dilettante:	dilettantes	dilettanti
diminuendo:	diminuendoes	diminuendos
disbowel:	disboweled	disbowelled
disbowel:	disboweling	disbowelling
disembowel:	disemboweled	disembowelled
disembowel:	disemboweling	disembowelling
disequilibrium:	disequilibria	disequilibriums
dishevel:	disheveled	dishevelled
dishevel:	disheveling	dishevelling
dismal:	dismaler	dismaller
dismal:	dismalest	dismallest
disprove:	disproved	disproven
ditto:	dittoes	dittos
dive:	dived	dove
djinn:	djinn	djinns
dodo:	dodoes	dodos
dogma:	dogmas	dogmata
dognap:	dognaped	dognapped
dognap:	dognaping	dognapping
dominatrix:	dominatrices	dominatrixes
domino:	dominoes	dominos
dowel:	doweled	dowelled
dowel:	doweling	dowelling
drachma:	drachmae	drachmai	drachmas
dream:	dreamed	dreamt
drink:	drank	drunk
drivel:	driveled	drivelled
drivel:	driveling	drivelling
drongo:	drongoes	drongos
dry:	dries	drys
duel:	dueled	duelled
duel:	dueling	duelling
duelling:	duelling	duellings
duodenum:	duodena	duodenums
dwarf:	dwarfs	dwarves
dwell:	dwelled	dwelt
dybbuk:	dybbukim	dybbuks
earthwolf:	earthwolf	earthwolves
echo:	echoes	echos
edema:	edemas	edemata
effluvium:	effluvia	effluviums
embowel:	emboweled	embowelled
embowel:	emboweling	embowelling
empanel:	empaneled	empanelled
empanel:	empaneling	empanelling
emporium:	emporia	emporiums
enamel:	enameled	enamelled
enamel:	enameling	enamelling
enamelling:	enamelling	enamellings
encomium:	encomia	encomiums
endameba:	endamebae	endamebas
endamoeba:	endamoebae	endamoebas
enema:	enemas	enemata
enhalo:	enhaloes	enhalos
ensorcel:	ensorceled	ensorcelled
enteritis:	enteritides	enteritises
enuresis:	enureses	enuresises
ephemera:	ephemerae	ephemeras
epiglottis:	epiglottides	epiglottises
epithelium:	epithelia	epitheliums
epoxy:	epoxied	epoxyed
equal:	equaled	equalled
equal:	equaling	equalling
equilibrium:	equilibria	equilibriums
eringo:	eringoes	eringos
eryngo:	eryngoes	eryngos
eucalyptus:	eucalypti	eucalyptuses
evil:	eviler	eviller
evil:	evilest	evillest
executrix:	executrices	executrixes
eye:	eyeing	eying
eyelet:	eyeleted	eyeletted
eyelet:	eyeleting	eyeletting
facet:	faceted	facetted
facet:	faceting	facetting
fandango:	fandangoes	fandangos
far:	farther	further
far:	farthest	furthest
farebeat:	farebeat	farebeaten
farrago:	farragoes	farragos
fascia:	fasciae	fascias
fatso:	fatsoes	fatsos
fauna:	faunae	faunas
fellowship:	fellowshiped	fellowshipped
fellowship:	fellowshiping	fellowshipping
femur:	femora	femurs
ferrel:	ferreled	ferrelled
ferrel:	ferreling	ferrelling
fettuccine:	fettuccine	fettuccines
fez:	fezes	fezzes
fianchetto:	fianchettoes	fianchettos
fiasco:	fiascoes	fiascos
fibrosarcoma:	fibrosarcomas	fibrosarcomata
fibula:	fibulae	fibulas
fico:	ficoes	ficos
ficus:	ficus	ficuses
fieldstrip:	fieldstripped	fieldstript
firstborn:	firstborn	firstborns
fistula:	fistulae	fistulas
fit:	fit	fitted
flagellum:	flagella	flagellums
flambeau:	flambeaus	flambeaux
flamingo:	flamingoes	flamingos
flannel:	flanneled	flannelled
flannel:	flanneling	flannelling
floodlight:	floodlighted	floodlit
flora:	florae	floras
focus:	foci	focuses	focusses
focus:	focused	focussed
focus:	focusing	focussing
folk:	folk	folks
forbid:	forbad	forbade	forbid	forbidden
forecast:	forecast	forecasted
forehoof:	forehoofs	forehooves
foreperson:	forepeople	forepersons
foreshow:	foreshowed	foreshown
formula:	formulae	formulas
fortissimo:	fortissimi	fortissimos
forum:	fora	forums
fresco:	frescoes	frescos
frivol:	frivoled	frivolled
frivol:	frivoling	frivolling
frustum:	frusta	frustums
fuel:	fueled	fuelled
fuel:	fueling	fuelling
fulcrum:	fulcra	fulcrums
fumado:	fumadoes	fumados
fungus:	fungi	funguses
funnel:	funneled	funnelled
funnel:	funneling	funnelling
gallows:	gallows	gallowses
gambado:	gambadoes	gambados
gambol:	gamboled	gambolled
